lat,lon,ratedPowerKW
49.27821,6.79313,22
49.35283,6.72344,22
49.26997,6.79325,11
49.446,6.62601,22
49.50543,6.53188,22
49.26978,6.78353,22
49.5061,6.7453,22
49.26858,6.79128,50
49.26858,6.79128,22
49.26858,6.79128,
49.44312,6.65025,22
49.25297,6.73159,11
49.315,6.739,22
49.24369,6.69862,22
49.32907,6.71565,22
49.32332,6.75038,11
49.44611,6.62555,22
49.29065,6.75899,90
49.29065,6.75899,22
49.29065,6.75899,
49.31555,6.75146,22
49.34709,6.71575,22
49.44417,6.64861,22
49.32526,6.76884,22
49.24399,6.70395,22
49.31603,6.73916,22
49.18409,6.73873,22
49.3544,6.72738,22
49.32026,6.74704,22
49.35305,6.73057,22
49.33537,6.77055,22
49.32506,6.75154,22
49.32506,6.75154,25
49.50543,6.53188,22
49.44113,6.63353,50
49.44113,6.63353,22
49.504,6.53231,22
49.44417,6.64861,22
49.43723,6.63516,22
49.31726,6.75529,22
49.47586,6.605,90
49.23697,6.77392,90
49.23697,6.77392,50
49.23697,6.77392,22
49.23697,6.77392,
49.31975,6.74618,22
49.38647,6.69042,22
49.24369,6.69862,22
49.44111,6.63896,22
49.3796,6.78653,22
49.25063,6.69801,22
49.313,6.754,22
49.44192,6.63363,50
49.44192,6.63363,22
49.34709,6.71575,22
49.32997,6.74761,22
49.32415,6.75005,22
49.32997,6.74761,22
49.35997,6.76733,22
49.29158,6.77978,11
49.26841,6.7891,22
49.31406,6.75519,22
49.27061,6.79171,120
49.27061,6.79171,120
49.27061,6.79171,22
49.31558,6.73922,22
49.38719,6.69168,22
49.49115,6.59395,22
49.329,6.747,22
49.32965,6.74641,22
49.36033,6.71468,22
49.49758,6.59646,22
49.28694,6.72954,22
49.23802,6.98963,22
49.23881,6.99757,22
49.23662,6.94084,22
49.16537,7.09082,11
49.20754,6.96718,50
49.20754,6.96718,
49.20754,6.96718,50
49.24292,6.99073,22
49.24721,6.84584,22
49.24739,6.86804,22
49.23828,6.97849,90
49.23828,6.97849,22
49.23828,6.97849,22
49.25178,6.86053,22
49.25178,6.86053,22
49.24875,6.86235,22
49.23473,6.97758,22
49.25534,6.87826,22
49.20877,7.02721,22
49.25442,7.03604,22
49.25211,6.86439,22
49.22995,7.00567,22
49.22629,7.03291,22
49.23166,6.99987,22
49.2164,7.0297,22
49.23835,6.97571,22
49.24547,6.93867,22
49.24904,6.90165,22
49.22889,6.99075,11
49.23835,6.97571,22
49.25231,6.81799,22
49.24856,6.85113,22
49.259,6.85299,22
49.20892,7.03074,43
49.20892,7.03074,50
49.20892,7.03074,50
49.25003,6.85143,22
49.22546,6.96114,22
49.25793,6.8519,22
49.24379,6.84091,50
49.23364,7.00155,22
49.23597,6.98692,22
49.15653,7.03374,22
49.25173,6.86014,22
49.22501,7.04296,25
49.16774,7.03324,50
49.16774,7.03324,22
49.22742,7.02126,22
49.23944,6.95544,22
49.23869,6.99656,11
49.23869,6.99656,3.7
49.24,6.98963,22
49.24812,6.88606,22
49.24084,6.96286,43
49.24084,6.96286,50
49.24084,6.96286,50
49.22316,6.97826,22
49.23677,6.96755,22
49.23618,6.98906,22
49.24212,6.9892,22
49.23786,6.99836,22
49.22175,6.80861,22
49.20945,6.96622,90
49.20945,6.96622,50
49.24427,6.86799,22
49.2414,7.00276,22
49.24784,6.83696,22
49.22756,7.01183,22
49.20551,7.02079,43
49.20551,7.02079,50
49.20551,7.02079,50
49.22757,7.01201,22
49.25641,7.04076,22
49.25449,7.03987,22
49.2463,6.93733,22
49.18866,7.03872,22
49.23672,6.96816,22
49.20754,6.96718,50
49.20754,6.96718,50
49.20754,6.96718,43
49.49379,6.86828,22
49.4086,6.9097,22
49.27229,6.83683,22
49.27229,6.83683,22
49.4522,7.05512,22
49.28868,6.88582,11
49.29951,7.06105,22
49.34584,6.93505,90
49.34584,6.93505,22
49.3696,7.08701,22
49.27626,7.03286,22
49.29535,7.05405,22
49.30281,6.80247,22
49.48185,7.0338,22
49.27233,6.83685,22
49.33508,6.92965,22
49.29535,7.05405,22
49.3443,7.03185,11
49.29951,7.06105,22
49.40493,6.96317,22
